"output","parameter","prcc","abs_prcc"
"portage_h","beta_h",0.694384461069655,0.694384461069655
"portage_h","beta_c",0.75243771488051,0.75243771488051
"portage_h","sigma_h",0.313519361693858,0.313519361693858
"portage_h","sigma_c",0.049724385709042,0.049724385709042
"portage_h","tau_h",-0.0484345577561115,0.0484345577561115
"portage_h","tau_c",0.0465053239833505,0.0465053239833505
"portage_h","omega",-0.229402753606649,0.229402753606649
"portage_h","nu",0.235415442755853,0.235415442755853
"portage_h","gamma",-0.838491993126262,0.838491993126262
"portage_h","epsilon",-0.280646846842283,0.280646846842283
"portage_h","p",-0.186355284665334,0.186355284665334
"portage_h","phi",0.0477584321834713,0.0477584321834713
"portage_h","k_A",0.372771820981108,0.372771820981108
"portage_h","k_II",-0.108029936908893,0.108029936908893
"portage_h","k_III",0.127144913975997,0.127144913975997
"portage_h","w",-0.150233830017218,0.150233830017218
"portage_h","w_I",0.0189199324222633,0.0189199324222633
"portage_h","w_II",-0.146903178740071,0.146903178740071
"portage_h","w_III",0.227840100494757,0.227840100494757
"portage_h","delta",-0.733226210992404,0.733226210992404
"portage_c","beta_h",0.334136145592047,0.334136145592047
"portage_c","beta_c",0.796126964020393,0.796126964020393
"portage_c","sigma_h",0.0343557319422508,0.0343557319422508
"portage_c","sigma_c",0.0641270183857808,0.0641270183857808
"portage_c","tau_h",-0.0338218292885827,0.0338218292885827
"portage_c","tau_c",-0.0539823137803399,0.0539823137803399
"portage_c","omega",-0.169041864623063,0.169041864623063
"portage_c","nu",0.0783028365254024,0.0783028365254024
"portage_c","gamma",-0.873311726750099,0.873311726750099
"portage_c","epsilon",-0.0814609331424106,0.0814609331424106
"portage_c","p",-0.115057301490517,0.115057301490517
"portage_c","phi",0.0815676605176608,0.0815676605176608
"portage_c","k_A",0.222710329723724,0.222710329723724
"portage_c","k_II",-0.136181779663538,0.136181779663538
"portage_c","k_III",0.01290248637306,0.01290248637306
"portage_c","w",-0.0952288483052541,0.0952288483052541
"portage_c","w_I",0.0254498366604786,0.0254498366604786
"portage_c","w_II",-0.133778497333387,0.133778497333387
"portage_c","w_III",0.141174408992118,0.141174408992118
"portage_c","delta",-0.489369787266642,0.489369787266642
"inc_h","beta_h",0.641237571698808,0.641237571698808
"inc_h","beta_c",0.662830503768366,0.662830503768366
"inc_h","sigma_h",0.594220960291162,0.594220960291162
"inc_h","sigma_c",0.0358471655754995,0.0358471655754995
"inc_h","tau_h",0.0668256804668766,0.0668256804668766
"inc_h","tau_c",0.0329004413353366,0.0329004413353366
"inc_h","omega",-0.327558439066123,0.327558439066123
"inc_h","nu",0.208870610870918,0.208870610870918
"inc_h","gamma",-0.797090985176307,0.797090985176307
"inc_h","epsilon",-0.309665877714589,0.309665877714589
"inc_h","p",-0.339088447237202,0.339088447237202
"inc_h","phi",0.0201826738790489,0.0201826738790489
"inc_h","k_A",0.501278842678747,0.501278842678747
"inc_h","k_II",-0.025403838606319,0.025403838606319
"inc_h","k_III",0.263338156739788,0.263338156739788
"inc_h","w",-0.205011643896696,0.205011643896696
"inc_h","w_I",-0.0569617889559302,0.0569617889559302
"inc_h","w_II",-0.197553987524183,0.197553987524183
"inc_h","w_III",0.253937733243389,0.253937733243389
"inc_h","delta",-0.84021117483821,0.84021117483821
"inc_c","beta_h",0.351514416337484,0.351514416337484
"inc_c","beta_c",0.792409339786764,0.792409339786764
"inc_c","sigma_h",0.101364885227191,0.101364885227191
"inc_c","sigma_c",0.342441425428597,0.342441425428597
"inc_c","tau_h",-0.0527889993188837,0.0527889993188837
"inc_c","tau_c",0.0383473270886666,0.0383473270886666
"inc_c","omega",-0.264110868846869,0.264110868846869
"inc_c","nu",0.0672244455574157,0.0672244455574157
"inc_c","gamma",-0.868066743441498,0.868066743441498
"inc_c","epsilon",-0.13336132934278,0.13336132934278
"inc_c","p",-0.187192911387594,0.187192911387594
"inc_c","phi",0.0638380178721999,0.0638380178721999
"inc_c","k_A",0.352472581332246,0.352472581332246
"inc_c","k_II",-0.0938022266574708,0.0938022266574708
"inc_c","k_III",0.0367609273849835,0.0367609273849835
"inc_c","w",-0.0954010161451673,0.0954010161451673
"inc_c","w_I",-0.0287258743663321,0.0287258743663321
"inc_c","w_II",-0.110793336055736,0.110793336055736
"inc_c","w_III",0.0951691264718214,0.0951691264718214
"inc_c","delta",-0.495985262159728,0.495985262159728
"inc_primo_tot","beta_h",0.39674530999544,0.39674530999544
"inc_primo_tot","beta_c",0.787568804482213,0.787568804482213
"inc_primo_tot","sigma_h",0.222403003181568,0.222403003181568
"inc_primo_tot","sigma_c",0.27756948711543,0.27756948711543
"inc_primo_tot","tau_h",-0.0314955748097316,0.0314955748097316
"inc_primo_tot","tau_c",0.0322966246506787,0.0322966246506787
"inc_primo_tot","omega",-0.320020008122186,0.320020008122186
"inc_primo_tot","nu",0.0600730027723465,0.0600730027723465
"inc_primo_tot","gamma",-0.865021397656419,0.865021397656419
"inc_primo_tot","epsilon",-0.133529937411778,0.133529937411778
"inc_primo_tot","p",-0.140238069007597,0.140238069007597
"inc_primo_tot","phi",0.0507453882420585,0.0507453882420585
"inc_primo_tot","k_A",0.435265535720735,0.435265535720735
"inc_primo_tot","k_II",-0.125243689998926,0.125243689998926
"inc_primo_tot","k_III",0.0241973853046411,0.0241973853046411
"inc_primo_tot","w",-0.0899897458116176,0.0899897458116176
"inc_primo_tot","w_I",-0.0340979608150713,0.0340979608150713
"inc_primo_tot","w_II",-0.132240604396617,0.132240604396617
"inc_primo_tot","w_III",0.123506555078515,0.123506555078515
"inc_primo_tot","delta",-0.602875982025078,0.602875982025078
"inc_rec_tot","beta_h",0.514953854252011,0.514953854252011
"inc_rec_tot","beta_c",0.715267453103421,0.715267453103421
"inc_rec_tot","sigma_h",0.429783599411103,0.429783599411103
"inc_rec_tot","sigma_c",0.268151038560834,0.268151038560834
"inc_rec_tot","tau_h",-0.0476669387555181,0.0476669387555181
"inc_rec_tot","tau_c",0.0529928186859972,0.0529928186859972
"inc_rec_tot","omega",-0.27753382964812,0.27753382964812
"inc_rec_tot","nu",0.104870205903285,0.104870205903285
"inc_rec_tot","gamma",-0.82978372943111,0.82978372943111
"inc_rec_tot","epsilon",-0.248018483248511,0.248018483248511
"inc_rec_tot","p",-0.404238053075482,0.404238053075482
"inc_rec_tot","phi",-0.0142116016151743,0.0142116016151743
"inc_rec_tot","k_A",0.429280842253982,0.429280842253982
"inc_rec_tot","k_II",0.0557200664381725,0.0557200664381725
"inc_rec_tot","k_III",0.15023994385684,0.15023994385684
"inc_rec_tot","w",-0.143561168981467,0.143561168981467
"inc_rec_tot","w_I",-0.0480890590638714,0.0480890590638714
"inc_rec_tot","w_II",-0.119775087096249,0.119775087096249
"inc_rec_tot","w_III",0.185601599338736,0.185601599338736
"inc_rec_tot","delta",-0.719289347860422,0.719289347860422
